Strain,Strain_rate,Stress,Temperature
128.544,0.01,0.50476,1273.15
128.454,0.01,0.50677,1273.15
127.546,0.01,0.50919,1273.15
128.282,0.01,0.51075,1273.15
128.068,0.01,0.51288,1273.15
127.4,0.01,0.51479,1273.15
127.308,0.01,0.51679,1273.15
127.264,0.01,0.51878,1273.15
126.54,0.01,0.52121,1273.15
127.646,0.01,0.52278,1273.15
127.19,0.01,0.52492,1273.15
126.618,0.01,0.52727,1273.15
127.446,0.01,0.52891,1273.15
126.512,0.01,0.53083,1273.15
126.228,0.01,0.53285,1273.15
125.888,0.01,0.53476,1273.15
126.322,0.01,0.53684,1273.15
125.996,0.01,0.53886,1273.15
125.132,0.01,0.5408,1273.15
125.842,0.01,0.54284,1273.15
125.772,0.01,0.54491,1273.15
125.112,0.01,0.54682,1273.15
125.274,0.01,0.54884,1273.15
125.186,0.01,0.55088,1273.15
125.016,0.01,0.55284,1273.15
125.154,0.01,0.55494,1273.15
124.5,0.01,0.55693,1273.15
124.246,0.01,0.55881,1273.15
124.386,0.01,0.56081,1273.15
124.22,0.01,0.56278,1273.15
123.802,0.01,0.56517,1273.15
123.928,0.01,0.56706,1273.15
124.822,0.01,0.56914,1273.15
123.774,0.01,0.57095,1273.15
123.924,0.01,0.57286,1273.15
123.6,0.01,0.57517,1273.15
123.75,0.01,0.57706,1273.15
123.322,0.01,0.57886,1273.15
122.922,0.01,0.58111,1273.15
123.516,0.01,0.5829,1273.15
123.508,0.01,0.58489,1273.15
123.52,0.01,0.58679,1273.15
122.884,0.01,0.58908,1273.15
122.898,0.01,0.59102,1273.15
122.28,0.01,0.59288,1273.15
123.402,0.01,0.59498,1273.15
122.92,0.01,0.59703,1273.15
123.092,0.01,0.59918,1273.15
122.69,0.01,0.60082,1273.15
121.944,0.01,0.60294,1273.15
121.734,0.01,0.60491,1273.15
122.514,0.01,0.60719,1273.15
122.104,0.01,0.60869,1273.15
121.636,0.01,0.6108,1273.15
121.754,0.01,0.61294,1273.15
121.702,0.01,0.61504,1273.15
121.752,0.01,0.61686,1273.15
121.32,0.01,0.61887,1273.15
121.194,0.01,0.62097,1273.15
121.28,0.01,0.6231,1273.15
120.412,0.01,0.62506,1273.15
121.218,0.01,0.62722,1273.15
120.674,0.01,0.62923,1273.15
120.722,0.01,0.63127,1273.15
121.324,0.01,0.6328,1273.15
121.184,0.01,0.63498,1273.15
120.114,0.01,0.63688,1273.15
120.014,0.01,0.63887,1273.15
120.258,0.01,0.64097,1273.15
120.168,0.01,0.64296,1273.15
119.82,0.01,0.645,1273.15
119.91,0.01,0.64693,1273.15
120.102,0.01,0.64903,1273.15
119.73,0.01,0.651,1273.15
119.45,0.01,0.65305,1273.15
119.586,0.01,0.65507,1273.15
119.12,0.01,0.65706,1273.15
119.656,0.01,0.65903,1273.15
119.458,0.01,0.66113,1273.15
118.884,0.01,0.66304,1273.15
119.662,0.01,0.66516,1273.15
118.758,0.01,0.66721,1273.15
118.77,0.01,0.66905,1273.15
119.29,0.01,0.67119,1273.15
118.166,0.01,0.67305,1273.15
118.59,0.01,0.67513,1273.15
119.082,0.01,0.67714,1273.15
118.968,0.01,0.67926,1273.15
118.38,0.01,0.68118,1273.15
118.114,0.01,0.68307,1273.15
118.486,0.01,0.6852,1273.15
118.256,0.01,0.68721,1273.15
118.194,0.01,0.68926,1273.15
117.42,0.01,0.69115,1273.15
117.512,0.01,0.69299,1273.15
118.564,0.01,0.6952,1273.15
118.092,0.01,0.69723,1273.15
117.422,0.01,0.69917,1273.15
117.648,0.01,0.70116,1273.15
117.652,0.01,0.70324,1273.15
117.392,0.01,0.70509,1273.15
117.852,0.01,0.70725,1273.15
117.202,0.01,0.70918,1273.15
117.338,0.01,0.71123,1273.15
116.738,0.01,0.71316,1273.15
117.272,0.01,0.71511,1273.15
117.96,0.01,0.71686,1273.15
117.158,0.01,0.71882,1273.15
116.084,0.01,0.7212,1273.15
116.184,0.01,0.72307,1273.15
116.882,0.01,0.72504,1273.15
117.06,0.01,0.72706,1273.15
116.92,0.01,0.72898,1273.15
116.514,0.01,0.73085,1273.15
116.328,0.01,0.73304,1273.15
116.56,0.01,0.73487,1273.15
116.756,0.01,0.73719,1273.15
116.262,0.01,0.73888,1273.15
116.782,0.01,0.74085,1273.15
116.182,0.01,0.74295,1273.15
116.198,0.01,0.74525,1273.15
116.07,0.01,0.74698,1273.15
116.2,0.01,0.74883,1273.15
115.914,0.01,0.75101,1273.15
116.578,0.01,0.75297,1273.15
116.542,0.01,0.75491,1273.15
115.848,0.01,0.7569,1273.15
115.924,0.01,0.7588,1273.15
