,Strain,Strain_rate,Stress,Temperature,A_opt,alpha_opt,n_opt,Q_act_opt,sigma_pred,error,ln_A,Q_RT,ln_Strain_rate,abs_error
1560,0.87698,0.01,58.0768,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.5053983831543079,45.096402252726755,56.11314093316765,-4.605170185988091,0.5053983831543079
1561,0.87907,0.01,57.9334,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.6487983831543076,45.096402252726755,56.11314093316765,-4.605170185988091,0.6487983831543076
1562,0.88111,0.01,58.2844,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.2977983831543085,45.096402252726755,56.11314093316765,-4.605170185988091,0.2977983831543085
1563,0.8829,0.01,58.8072,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,0.2250016168456952,45.096402252726755,56.11314093316765,-4.605170185988091,0.2250016168456952
1564,0.88497,0.01,58.6948,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,0.1126016168456942,45.096402252726755,56.11314093316765,-4.605170185988091,0.1126016168456942
1565,0.88696,0.01,58.2922,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.2899983831543054,45.096402252726755,56.11314093316765,-4.605170185988091,0.2899983831543054
1566,0.88905,0.01,58.1004,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.481798383154306,45.096402252726755,56.11314093316765,-4.605170185988091,0.481798383154306
1567,0.89109,0.01,58.1178,1423.15,3.846968693509622e+19,0.0386181246627476,12.26392173065059,663934.5609392781,58.58219838315431,-0.4643983831543039,45.096402252726755,56.11314093316765,-4.605170185988091,0.4643983831543039
1568,0.89316,0.01,58.2514,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,0.0754909354681885,46.249200184787135,41.4992647747924,-4.605170185988091,0.0754909354681885
1569,0.89523,0.01,58.3528,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.55267491421546,-0.1998749142154565,46.249200184787135,41.4992647747924,-4.605170185988091,0.1998749142154565
1570,0.89683,0.01,58.3956,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.55267491421546,-0.1570749142154568,46.249200184787135,41.4992647747924,-4.605170185988091,0.1570749142154568
1571,0.89882,0.01,58.1138,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,-0.0621090645318105,46.249200184787135,41.4992647747924,-4.605170185988091,0.0621090645318105
1572,0.90082,0.01,58.1104,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,-0.0655090645318097,46.249200184787135,41.4992647747924,-4.605170185988091,0.0655090645318097
1573,0.90313,0.01,58.3362,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.55267491421546,-0.2164749142154605,46.249200184787135,41.4992647747924,-4.605170185988091,0.2164749142154605
1574,0.9051,0.01,57.9962,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.55267491421546,-0.5564749142154568,46.249200184787135,41.4992647747924,-4.605170185988091,0.5564749142154568
1575,0.90718,0.01,58.1076,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,-0.0683090645318102,46.249200184787135,41.4992647747924,-4.605170185988091,0.0683090645318102
1576,0.90879,0.01,58.1222,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,-0.0537090645318087,46.249200184787135,41.4992647747924,-4.605170185988091,0.0537090645318087
1577,0.91093,0.01,58.1204,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.17590906453181,-0.0555090645318117,46.249200184787135,41.4992647747924,-4.605170185988091,0.0555090645318117
1578,0.91198,0.01,58.0284,1423.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,58.55267491421546,-0.5242749142154608,46.249200184787135,41.4992647747924,-4.605170185988091,0.5242749142154608
