Strain,Strain_rate,Stress,Temperature
0.58686,0.1,338.194,1173.15
0.56892,1.0,238.38,1323.15
0.64867,0.1,139.616,1323.15
0.48126,0.01,130.016,1273.15
0.38913,0.1,173.322,1273.15
0.42312,0.1,122.21,1423.15
0.76325,1.0,200.056,1373.15
0.50117,0.5,281.232,1273.15
0.38284,0.5,338.652,1223.15
0.24311,0.5,339.206,1223.15
0.44109,0.1,121.856,1423.15
0.79522,0.5,458.37,1123.15
0.85461,0.5,324.03,1223.15
0.73484,1.0,200.758,1373.15
0.90082,0.01,58.1104,1423.15
0.82882,0.5,226.974,1323.15
0.69101,0.1,237.178,1223.15
0.52114,0.5,400.726,1173.15
0.19292,0.5,294.502,1273.15
0.27305,0.1,176.006,1273.15
0.79092,0.01,258.75,1123.15
0.72674,0.01,90.7334,1323.15
0.12508,1.0,161.548,1423.15
0.315,0.1,399.258,1173.15
0.17319,1.0,646.402,1073.15
0.76107,1.0,200.282,1373.15
0.45321,0.5,337.522,1223.15
0.81077,0.01,114.5,1273.15
0.21911,1.0,281.862,1273.15
0.4748,0.01,81.662,1373.15
0.16927,1.0,354.264,1223.15
0.84073,0.1,437.416,1123.15
0.26303,0.5,160.83,1423.15
0.54675,0.5,253.716,1293.15
0.15093,1.0,198.298,1373.15
0.84227,0.5,225.54,1323.15
0.49293,1.0,498.088,1073.15
0.29921,0.01,306.368,1173.15
0.79718,0.01,258.43,1123.15
0.65521,0.1,238.672,1223.15
0.15494,0.01,92.8854,1373.15
0.55117,0.5,199.236,1373.15
0.83888,0.5,259.802,1293.15
0.70686,0.01,90.7966,1323.15
0.66285,0.5,327.908,1223.15
0.681,0.01,60.3546,1423.15
0.74726,1.0,230.824,1323.15
0.47295,0.5,495.966,1123.15
0.57523,0.01,96.7726,1323.15
0.14478,0.5,212.448,1323.15
0.69519,1.0,392.482,1173.15
0.70099,0.5,327.388,1223.15
0.25918,0.01,311.044,1173.15
0.47731,0.1,170.48,1273.15
0.52684,0.5,399.39,1173.15
0.50102,0.01,100.808,1323.15
0.2952,0.01,109.022,1323.15
0.56278,0.01,124.22,1273.15
0.2331,0.01,313.996,1173.15
0.4191,0.1,122.97,1423.15
0.84513,0.5,194.6,1373.15
0.18916,0.01,188.31,1223.15
0.41303,0.01,342.398,1123.15
0.50096,0.1,356.13,1173.15
0.49303,0.01,280.832,1173.15
0.65525,1.0,273.872,1273.15
0.129,0.01,104.77,1323.15
0.59085,0.01,293.862,1123.15
0.35698,1.0,243.12,1323.15
0.87297,0.1,432.32,1123.15
0.85298,0.5,461.256,1123.15
0.59903,0.01,62.5614,1423.15
0.70718,1.0,391.736,1173.15
0.65305,1.0,171.558,1423.15
0.14102,0.01,189.162,1223.15
0.47333,0.1,120.266,1423.15
0.84079,1.0,307.98,1223.15
0.24299,0.01,140.212,1273.15
0.58293,0.5,276.206,1273.15
0.89147,0.5,464.388,1123.15
0.29305,0.1,125.544,1423.15
0.89523,0.01,58.3528,1423.15
0.76311,0.1,134.772,1323.15
0.83503,0.01,113.572,1273.15
0.67502,1.0,202.252,1373.15
0.53088,0.5,167.508,1423.15
0.38107,0.1,248.996,1223.15
0.25524,0.01,109.622,1323.15
0.89288,0.5,225.16,1323.15
0.54116,0.1,242.562,1223.15
0.12918,0.5,333.702,1223.15
0.87299,0.01,249.55,1123.15
0.47926,0.1,168.948,1273.15
0.57513,1.0,276.4,1273.15
0.23119,0.5,294.596,1273.15
0.77276,0.5,455.994,1123.15
0.34323,0.01,70.661,1423.15
0.31304,0.1,174.804,1273.15
0.20318,0.01,138.532,1273.15
0.83084,0.01,253.582,1123.15
0.63095,0.1,159.568,1273.15
0.44279,0.5,231.682,1323.15
0.23098,0.5,266.318,1293.15
0.36913,0.5,166.104,1423.15
0.60925,1.0,323.496,1223.15
0.15886,0.5,182.456,1373.15
0.21918,0.1,172.992,1273.15
0.20293,1.0,487.632,1173.15
0.38875,1.0,174.414,1423.15
0.38695,0.5,165.654,1423.15
0.57863,0.1,163.912,1273.15
0.87093,0.5,284.696,1273.15
0.36284,0.1,385.59,1173.15
0.53271,1.0,240.682,1323.15
0.28476,0.5,548.874,1123.15
0.53081,0.5,232.628,1323.15
0.69325,0.01,73.5266,1373.15
0.80888,0.01,250.15,1173.15
0.30309,0.5,293.332,1273.15
0.15517,0.1,597.768,1123.15
0.49491,0.01,318.37,1123.15
0.71885,0.01,91.0814,1323.15
0.55115,1.0,330.82,1223.15
0.31716,1.0,588.184,1073.15
0.57694,0.01,62.7938,1423.15
0.73479,0.01,72.2772,1373.15
0.71084,0.01,90.6754,1323.15
0.73101,0.5,196.396,1373.15
0.36674,1.0,349.788,1223.15
0.71084,1.0,200.602,1373.15
0.30089,0.01,185.56,1223.15
0.59281,1.0,205.496,1373.15
0.32089,0.01,307.334,1173.15
0.64315,0.1,111.826,1423.15
0.26908,1.0,286.334,1273.15
0.87681,0.1,234.17,1223.15
0.32097,0.5,339.168,1223.15
0.64721,1.0,274.534,1273.15
0.12909,0.01,72.5794,1423.15
0.70107,0.5,228.46,1323.15
0.70116,0.01,117.648,1273.15
0.6429,0.1,466.304,1123.15
0.63297,0.5,327.606,1223.15
0.81729,0.5,279.182,1273.15
0.45887,0.01,83.0496,1373.15
0.77482,1.0,199.516,1373.15
0.48904,0.5,335.41,1223.15
0.23319,0.01,188.398,1223.15
0.20892,0.1,600.258,1123.15
0.37874,0.5,264.176,1293.15
0.89333,0.1,230.78,1223.15
0.42877,0.5,196.906,1373.15
0.21512,0.01,139.328,1273.15
0.70106,0.1,154.69,1273.15
0.73717,0.01,154.294,1223.15
0.35905,0.5,229.124,1323.15
0.19918,0.1,600.534,1123.15
0.42891,0.01,84.5134,1373.15
0.59498,0.01,123.402,1273.15
0.86277,0.1,321.48,1173.15
0.68721,0.01,118.256,1273.15
0.16906,0.5,184.582,1373.15
0.48479,0.1,119.98,1423.15
0.21309,1.0,485.502,1173.15
0.5092,0.01,173.138,1223.15
0.49509,0.5,492.492,1123.15
0.29125,0.01,139.72,1273.15
0.58686,0.01,96.6598,1323.15
0.74116,0.01,153.72,1223.15
0.17311,1.0,277.736,1273.15
0.42296,0.1,527.828,1123.15
0.62882,1.0,203.968,1373.15
0.76077,0.01,263.93,1123.15
0.14906,0.5,153.752,1423.15
0.46112,1.0,175.026,1423.15
0.52691,1.0,174.348,1423.15
0.26104,1.0,171.554,1423.15
0.86469,0.1,320.95,1173.15
0.84528,0.01,58.5978,1423.15
0.65079,0.1,140.094,1323.15
0.69901,1.0,437.654,1073.15
0.51102,1.0,241.628,1323.15
0.27297,1.0,286.084,1273.15
0.53506,1.0,423.452,1173.15
0.66107,0.5,460.156,1123.15
0.77079,0.01,88.1738,1323.15
0.74123,0.1,322.568,1173.15
0.62318,1.0,235.714,1323.15
0.46525,1.0,242.392,1323.15
0.4551,1.0,442.148,1173.15
0.47885,0.5,232.094,1323.15
0.89217,0.5,286.318,1273.15
0.50884,0.1,244.972,1223.15
0.54895,0.01,168.566,1223.15
0.39712,0.01,135.846,1273.15
0.61082,0.5,330.424,1223.15
0.40277,1.0,347.798,1223.15
0.2812,0.1,582.622,1123.15
0.19284,1.0,203.416,1373.15
0.64705,0.5,231.668,1323.15
0.72119,0.01,155.54,1223.15
0.82276,0.1,438.292,1123.15
0.79282,0.01,59.0746,1423.15
0.81922,1.0,228.214,1323.15
0.39338,0.1,122.504,1423.15
0.82691,0.1,437.334,1123.15
0.71687,0.1,153.502,1273.15
0.88111,0.01,58.2844,1423.15
